"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1770",3,21,"disamb","fp",74,"disamb fp",3,0,397,397,"Unambiguous","Match"
"1772",3,15,"disamb","fp",74,"disamb fp",1,0,915,915,"Ambiguous","Match"
"1774",3,8,"disamb","fp",74,"disamb fp",2,0,391,391,"Ambiguous","Mismatch"
"1776",3,3,"disamb","fp",74,"disamb fp",1,0,697,697,"Ambiguous","Match"
"2594",4,7,"disamb","fp",72,"disamb fp",2,0,720,720,"Ambiguous","Mismatch"
"2596",4,8,"disamb","fp",72,"disamb fp",3,0,282,282,"Unambiguous","Match"
"2598",4,11,"disamb","fp",72,"disamb fp",2,0,520,520,"Ambiguous","Mismatch"
"2600",4,22,"disamb","fp",72,"disamb fp",1,0,288,288,"Ambiguous","Match"
"2602",4,1,"disamb","fp",72,"disamb fp",4,0,628,628,"Unambiguous","Mismatch"
"2604",4,20,"disamb","fp",72,"disamb fp",3,0,287,287,"Unambiguous","Match"
"2606",4,23,"disamb","fp",72,"disamb fp",2,0,282,282,"Ambiguous","Mismatch"
"2608",4,3,"disamb","fp",72,"disamb fp",2,0,393,393,"Ambiguous","Mismatch"
"2611",4,19,"disamb","fp",72,"disamb fp",2,0,262,262,"Ambiguous","Mismatch"
"2613",4,13,"disamb","fp",72,"disamb fp",4,0,224,224,"Unambiguous","Mismatch"
"2615",4,9,"disamb","fp",72,"disamb fp",4,0,269,269,"Unambiguous","Mismatch"
"2617",4,2,"disamb","fp",72,"disamb fp",1,0,529,529,"Ambiguous","Match"
"2620",4,4,"disamb","fp",72,"disamb fp",3,0,479,479,"Unambiguous","Match"
"2622",4,12,"disamb","fp",72,"disamb fp",3,0,488,488,"Unambiguous","Match"
"2624",4,16,"disamb","fp",72,"disamb fp",3,0,400,400,"Unambiguous","Match"
"2627",4,18,"disamb","fp",72,"disamb fp",1,0,325,325,"Ambiguous","Match"
"2629",4,24,"disamb","fp",72,"disamb fp",3,0,293,293,"Unambiguous","Match"
"2631",4,6,"disamb","fp",72,"disamb fp",1,0,369,369,"Ambiguous","Match"
"2633",4,17,"disamb","fp",72,"disamb fp",4,0,263,263,"Unambiguous","Mismatch"
"2636",4,14,"disamb","fp",72,"disamb fp",1,0,613,613,"Ambiguous","Match"
"3385",5,13,"disamb","fp",66,"disamb fp",1,0,288,288,"Ambiguous","Match"
"3387",5,4,"disamb","fp",66,"disamb fp",4,0,325,325,"Unambiguous","Mismatch"
"3389",5,9,"disamb","fp",66,"disamb fp",1,0,289,289,"Ambiguous","Match"
"3391",5,8,"disamb","fp",66,"disamb fp",4,0,505,505,"Unambiguous","Mismatch"
"3393",5,7,"disamb","fp",66,"disamb fp",3,0,481,481,"Unambiguous","Match"
"3395",5,16,"disamb","fp",66,"disamb fp",4,0,377,377,"Unambiguous","Mismatch"
"3397",5,19,"disamb","fp",66,"disamb fp",3,0,1122,1122,"Unambiguous","Match"
"3399",5,17,"disamb","fp",66,"disamb fp",1,0,448,448,"Ambiguous","Match"
"3401",5,3,"disamb","fp",66,"disamb fp",3,0,292,292,"Unambiguous","Match"
"3403",5,14,"disamb","fp",66,"disamb fp",2,0,668,668,"Ambiguous","Mismatch"
"3405",5,1,"disamb","fp",66,"disamb fp",1,0,522,522,"Ambiguous","Match"
"3407",5,15,"disamb","fp",66,"disamb fp",3,0,279,279,"Unambiguous","Match"
"3409",5,22,"disamb","fp",66,"disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"3411",5,18,"disamb","fp",66,"disamb fp",2,0,414,414,"Ambiguous","Mismatch"
"3413",5,5,"disamb","fp",66,"disamb fp",1,0,320,320,"Ambiguous","Match"
"3415",5,2,"disamb","fp",66,"disamb fp",2,0,402,402,"Ambiguous","Mismatch"
"3417",5,23,"disamb","fp",66,"disamb fp",3,0,542,542,"Unambiguous","Match"
"3419",5,21,"disamb","fp",66,"disamb fp",1,0,1138,1138,"Ambiguous","Match"
"3421",5,20,"disamb","fp",66,"disamb fp",4,0,382,382,"Unambiguous","Mismatch"
"3423",5,10,"disamb","fp",66,"disamb fp",2,0,332,332,"Ambiguous","Mismatch"
"3425",5,12,"disamb","fp",66,"disamb fp",4,0,405,405,"Unambiguous","Mismatch"
"3427",5,11,"disamb","fp",66,"disamb fp",3,0,750,750,"Unambiguous","Match"
"3429",5,24,"disamb","fp",66,"disamb fp",4,0,363,363,"Unambiguous","Mismatch"
"3431",5,6,"disamb","fp",66,"disamb fp",2,0,443,443,"Ambiguous","Mismatch"
"4249",6,12,"disamb","fp",89,"disamb fp",1,0,258,258,"Ambiguous","Match"
"4251",6,16,"disamb","fp",89,"disamb fp",1,0,588,588,"Ambiguous","Match"
"4253",6,13,"disamb","fp",89,"disamb fp",2,0,386,386,"Ambiguous","Mismatch"
"4255",6,7,"disamb","fp",89,"disamb fp",4,0,330,330,"Unambiguous","Mismatch"
"4257",6,18,"disamb","fp",89,"disamb fp",3,0,284,284,"Unambiguous","Match"
"4259",6,21,"disamb","fp",89,"disamb fp",2,0,254,254,"Ambiguous","Mismatch"
"4261",6,14,"disamb","fp",89,"disamb fp",3,0,684,684,"Unambiguous","Match"
"4263",6,4,"disamb","fp",89,"disamb fp",1,0,464,464,"Ambiguous","Match"
"4265",6,5,"disamb","fp",89,"disamb fp",2,1,0,NA,"Ambiguous","Mismatch"
"4267",6,10,"disamb","fp",89,"disamb fp",3,0,170,170,"Unambiguous","Match"
"4269",6,3,"disamb","fp",89,"disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"4271",6,11,"disamb","fp",89,"disamb fp",4,0,204,204,"Unambiguous","Mismatch"
"4273",6,24,"disamb","fp",89,"disamb fp",1,0,230,230,"Ambiguous","Match"
"4275",6,17,"disamb","fp",89,"disamb fp",2,0,338,338,"Ambiguous","Mismatch"
"4277",6,2,"disamb","fp",89,"disamb fp",3,0,270,270,"Unambiguous","Match"
"4279",6,9,"disamb","fp",89,"disamb fp",2,0,268,268,"Ambiguous","Mismatch"
"4281",6,15,"disamb","fp",89,"disamb fp",4,0,404,404,"Unambiguous","Mismatch"
"4283",6,19,"disamb","fp",89,"disamb fp",4,0,170,170,"Unambiguous","Mismatch"
"4286",6,1,"disamb","fp",89,"disamb fp",2,0,394,394,"Ambiguous","Mismatch"
"4288",6,8,"disamb","fp",89,"disamb fp",1,0,312,312,"Ambiguous","Match"
"4290",6,20,"disamb","fp",89,"disamb fp",1,0,476,476,"Ambiguous","Match"
"4292",6,23,"disamb","fp",89,"disamb fp",4,0,336,336,"Unambiguous","Mismatch"
"4294",6,6,"disamb","fp",89,"disamb fp",3,0,306,306,"Unambiguous","Match"
"5096",7,20,"disamb","fp",77,"disamb fp",2,0,305,305,"Ambiguous","Mismatch"
"5098",7,4,"disamb","fp",77,"disamb fp",2,0,235,235,"Ambiguous","Mismatch"
"5100",7,14,"disamb","fp",77,"disamb fp",4,0,242,242,"Unambiguous","Mismatch"
"5102",7,24,"disamb","fp",77,"disamb fp",2,0,145,145,"Ambiguous","Mismatch"
"5104",7,8,"disamb","fp",77,"disamb fp",2,0,128,128,"Ambiguous","Mismatch"
"5106",7,21,"disamb","fp",77,"disamb fp",3,0,325,325,"Unambiguous","Match"
"5108",7,18,"disamb","fp",77,"disamb fp",4,0,212,212,"Unambiguous","Mismatch"
"5110",7,5,"disamb","fp",77,"disamb fp",3,0,165,165,"Unambiguous","Match"
"5112",7,1,"disamb","fp",77,"disamb fp",3,0,313,313,"Unambiguous","Match"
"5114",7,19,"disamb","fp",77,"disamb fp",1,0,431,431,"Ambiguous","Match"
"5116",7,16,"disamb","fp",77,"disamb fp",2,0,342,342,"Ambiguous","Mismatch"
"5118",7,15,"disamb","fp",77,"disamb fp",1,0,300,300,"Ambiguous","Match"
"5120",7,23,"disamb","fp",77,"disamb fp",1,0,185,185,"Ambiguous","Match"
"5122",7,10,"disamb","fp",77,"disamb fp",4,1,0,NA,"Unambiguous","Mismatch"
"5124",7,9,"disamb","fp",77,"disamb fp",3,0,212,212,"Unambiguous","Match"
"5126",7,6,"disamb","fp",77,"disamb fp",4,0,188,188,"Unambiguous","Mismatch"
