"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"30667",3,43,"spillover2","tt","spillover2 tt",5,0,360,360,57,"Ambiguous","Consistent",360
"30669",3,28,"spillover2","tt","spillover2 tt",6,0,469,469,57,"Unambiguous","Consistent",469
"30671",3,40,"spillover2","tt","spillover2 tt",6,0,171,171,57,"Unambiguous","Consistent",171
"30673",3,30,"spillover2","tt","spillover2 tt",8,0,1296,1296,57,"Unambiguous","Inconsistent",1296
"30675",3,32,"spillover2","tt","spillover2 tt",6,0,1264,1264,57,"Unambiguous","Consistent",1264
"30677",3,25,"spillover2","tt","spillover2 tt",7,0,814,814,57,"Ambiguous","Inconsistent",814
"30679",3,38,"spillover2","tt","spillover2 tt",8,0,344,344,57,"Unambiguous","Inconsistent",344
"30681",3,33,"spillover2","tt","spillover2 tt",7,0,510,510,57,"Ambiguous","Inconsistent",510
"30683",3,31,"spillover2","tt","spillover2 tt",5,0,258,258,57,"Ambiguous","Consistent",258
"30685",3,46,"spillover2","tt","spillover2 tt",8,0,1398,1398,57,"Unambiguous","Inconsistent",1398
"30687",3,35,"spillover2","tt","spillover2 tt",5,0,461,461,57,"Ambiguous","Consistent",461
"30689",4,28,"spillover2","tt","spillover2 tt",7,0,1145,1145,57,"Ambiguous","Inconsistent",1145
"30691",4,31,"spillover2","tt","spillover2 tt",6,0,1264,1264,57,"Unambiguous","Consistent",1264
"30693",4,44,"spillover2","tt","spillover2 tt",7,0,436,436,57,"Ambiguous","Inconsistent",436
"30695",4,26,"spillover2","tt","spillover2 tt",5,0,1088,1088,57,"Ambiguous","Consistent",1088
"30697",4,37,"spillover2","tt","spillover2 tt",8,0,805,805,57,"Unambiguous","Inconsistent",805
"30699",4,32,"spillover2","tt","spillover2 tt",7,0,1687,1687,57,"Ambiguous","Inconsistent",1687
"30701",4,36,"spillover2","tt","spillover2 tt",7,0,708,708,57,"Ambiguous","Inconsistent",708
"30703",4,38,"spillover2","tt","spillover2 tt",5,0,1087,1087,57,"Ambiguous","Consistent",1087
"30705",4,46,"spillover2","tt","spillover2 tt",5,0,1879,1879,57,"Ambiguous","Consistent",1879
"30706",4,29,"spillover2","tt","spillover2 tt",8,0,968,968,57,"Unambiguous","Inconsistent",968
"30708",4,43,"spillover2","tt","spillover2 tt",6,0,695,695,57,"Unambiguous","Consistent",695
"30710",4,33,"spillover2","tt","spillover2 tt",8,0,2017,2017,57,"Unambiguous","Inconsistent",2017
"30712",4,45,"spillover2","tt","spillover2 tt",8,0,845,845,57,"Unambiguous","Inconsistent",845
"30714",4,30,"spillover2","tt","spillover2 tt",5,0,284,284,57,"Ambiguous","Consistent",284
"30715",4,40,"spillover2","tt","spillover2 tt",7,0,381,381,57,"Ambiguous","Inconsistent",381
"30717",4,41,"spillover2","tt","spillover2 tt",8,0,452,452,57,"Unambiguous","Inconsistent",452
"30719",4,48,"spillover2","tt","spillover2 tt",7,0,464,464,57,"Ambiguous","Inconsistent",464
"30721",4,42,"spillover2","tt","spillover2 tt",5,0,1233,1233,57,"Ambiguous","Consistent",1233
"30722",4,25,"spillover2","tt","spillover2 tt",8,0,1128,1128,57,"Unambiguous","Inconsistent",1128
"30724",4,27,"spillover2","tt","spillover2 tt",6,0,593,593,57,"Unambiguous","Consistent",593
"30726",4,47,"spillover2","tt","spillover2 tt",6,0,1357,1357,57,"Unambiguous","Consistent",1357
"30728",4,39,"spillover2","tt","spillover2 tt",6,0,1257,1257,57,"Unambiguous","Consistent",1257
"30730",4,34,"spillover2","tt","spillover2 tt",5,0,779,779,57,"Ambiguous","Consistent",779
"30731",4,35,"spillover2","tt","spillover2 tt",6,0,512,512,57,"Unambiguous","Consistent",512
"30734",5,42,"spillover2","tt","spillover2 tt",6,0,1437,1437,57,"Unambiguous","Consistent",1437
"30736",5,47,"spillover2","tt","spillover2 tt",7,0,455,455,57,"Ambiguous","Inconsistent",455
"30738",5,25,"spillover2","tt","spillover2 tt",5,0,548,548,57,"Ambiguous","Consistent",548
"30740",5,43,"spillover2","tt","spillover2 tt",7,0,279,279,57,"Ambiguous","Inconsistent",279
"30742",5,33,"spillover2","tt","spillover2 tt",5,0,589,589,57,"Ambiguous","Consistent",589
"30744",5,41,"spillover2","tt","spillover2 tt",5,0,273,273,57,"Ambiguous","Consistent",273
"30746",5,29,"spillover2","tt","spillover2 tt",5,0,418,418,57,"Ambiguous","Consistent",418
"30748",5,39,"spillover2","tt","spillover2 tt",7,0,770,770,57,"Ambiguous","Inconsistent",770
"30750",5,40,"spillover2","tt","spillover2 tt",8,0,1052,1052,57,"Unambiguous","Inconsistent",1052
"30752",5,28,"spillover2","tt","spillover2 tt",8,0,881,881,57,"Unambiguous","Inconsistent",881
"30754",5,46,"spillover2","tt","spillover2 tt",6,0,1210,1210,57,"Unambiguous","Consistent",1210
"30756",5,31,"spillover2","tt","spillover2 tt",7,0,219,219,57,"Ambiguous","Inconsistent",219
"30758",5,36,"spillover2","tt","spillover2 tt",8,0,179,179,57,"Unambiguous","Inconsistent",179
"30760",5,27,"spillover2","tt","spillover2 tt",7,0,301,301,57,"Ambiguous","Inconsistent",301
"30762",5,38,"spillover2","tt","spillover2 tt",6,0,726,726,57,"Unambiguous","Consistent",726
"30764",5,26,"spillover2","tt","spillover2 tt",6,0,739,739,57,"Unambiguous","Consistent",739
"30766",5,44,"spillover2","tt","spillover2 tt",8,0,1383,1383,57,"Unambiguous","Inconsistent",1383
"30768",5,45,"spillover2","tt","spillover2 tt",5,0,518,518,57,"Ambiguous","Consistent",518
"30770",5,30,"spillover2","tt","spillover2 tt",6,0,330,330,57,"Unambiguous","Consistent",330
"30772",5,32,"spillover2","tt","spillover2 tt",8,0,550,550,57,"Unambiguous","Inconsistent",550
"30774",5,37,"spillover2","tt","spillover2 tt",5,0,360,360,57,"Ambiguous","Consistent",360
"30776",5,34,"spillover2","tt","spillover2 tt",6,0,308,308,57,"Unambiguous","Consistent",308
"30778",5,48,"spillover2","tt","spillover2 tt",8,0,377,377,57,"Unambiguous","Inconsistent",377
