"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"337",1,28,"spillover1","rp",71,"spillover1 rp",8,0,610,610,"Unambiguous","Inconsistent"
"339",1,46,"spillover1","rp",71,"spillover1 rp",6,0,3348,3348,"Unambiguous","Consistent"
"341",1,40,"spillover1","rp",71,"spillover1 rp",8,0,850,850,"Unambiguous","Inconsistent"
"343",1,25,"spillover1","rp",71,"spillover1 rp",5,0,2998,2998,"Ambiguous","Consistent"
"345",1,42,"spillover1","rp",71,"spillover1 rp",6,0,500,500,"Unambiguous","Consistent"
"347",1,37,"spillover1","rp",71,"spillover1 rp",5,0,2149,2149,"Ambiguous","Consistent"
"349",1,26,"spillover1","rp",71,"spillover1 rp",6,0,971,971,"Unambiguous","Consistent"
"351",1,30,"spillover1","rp",71,"spillover1 rp",6,0,2455,2455,"Unambiguous","Consistent"
"353",1,32,"spillover1","rp",71,"spillover1 rp",8,0,2576,2576,"Unambiguous","Inconsistent"
"355",1,31,"spillover1","rp",71,"spillover1 rp",7,0,1372,1372,"Ambiguous","Inconsistent"
"357",1,47,"spillover1","rp",71,"spillover1 rp",7,0,1436,1436,"Ambiguous","Inconsistent"
"359",1,44,"spillover1","rp",71,"spillover1 rp",8,0,550,550,"Unambiguous","Inconsistent"
"361",1,27,"spillover1","rp",71,"spillover1 rp",7,0,2031,2031,"Ambiguous","Inconsistent"
"363",1,33,"spillover1","rp",71,"spillover1 rp",5,0,651,651,"Ambiguous","Consistent"
"365",1,45,"spillover1","rp",71,"spillover1 rp",5,0,3542,3542,"Ambiguous","Consistent"
"367",1,34,"spillover1","rp",71,"spillover1 rp",6,0,390,390,"Unambiguous","Consistent"
"369",1,35,"spillover1","rp",71,"spillover1 rp",7,0,2415,2415,"Ambiguous","Inconsistent"
"371",1,29,"spillover1","rp",71,"spillover1 rp",5,0,802,802,"Ambiguous","Consistent"
"373",1,41,"spillover1","rp",71,"spillover1 rp",5,0,4145,4145,"Ambiguous","Consistent"
"375",1,38,"spillover1","rp",71,"spillover1 rp",6,0,377,377,"Unambiguous","Consistent"
"377",1,43,"spillover1","rp",71,"spillover1 rp",7,0,824,824,"Ambiguous","Inconsistent"
"379",1,39,"spillover1","rp",71,"spillover1 rp",7,0,4800,4800,"Ambiguous","Inconsistent"
"381",1,48,"spillover1","rp",71,"spillover1 rp",8,0,3727,3727,"Unambiguous","Inconsistent"
"383",1,36,"spillover1","rp",71,"spillover1 rp",8,0,298,298,"Unambiguous","Inconsistent"
