"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","continuation","trimmed_nozero"
"133",3,25,"disamb","fp","disamb fp",7,1,0,NA,71,"Ambiguous","Inconsistent",NA
"135",3,38,"disamb","fp","disamb fp",8,0,238,238,71,"Unambiguous","Inconsistent",238
"137",3,33,"disamb","fp","disamb fp",7,0,445,445,71,"Ambiguous","Inconsistent",445
"139",3,31,"disamb","fp","disamb fp",5,0,291,291,71,"Ambiguous","Consistent",291
"141",3,46,"disamb","fp","disamb fp",8,0,380,380,71,"Unambiguous","Inconsistent",380
"143",3,35,"disamb","fp","disamb fp",5,0,261,261,71,"Ambiguous","Consistent",261
"145",4,28,"disamb","fp","disamb fp",7,0,486,486,71,"Ambiguous","Inconsistent",486
"147",4,31,"disamb","fp","disamb fp",6,0,477,477,71,"Unambiguous","Consistent",477
"149",4,44,"disamb","fp","disamb fp",7,0,1384,1384,71,"Ambiguous","Inconsistent",1384
"151",4,26,"disamb","fp","disamb fp",5,0,686,686,71,"Ambiguous","Consistent",686
"153",4,37,"disamb","fp","disamb fp",8,0,653,653,71,"Unambiguous","Inconsistent",653
"155",4,32,"disamb","fp","disamb fp",7,0,476,476,71,"Ambiguous","Inconsistent",476
"157",4,36,"disamb","fp","disamb fp",7,0,690,690,71,"Ambiguous","Inconsistent",690
"159",4,38,"disamb","fp","disamb fp",5,0,1002,1002,71,"Ambiguous","Consistent",1002
"161",4,46,"disamb","fp","disamb fp",5,0,293,293,71,"Ambiguous","Consistent",293
"162",4,29,"disamb","fp","disamb fp",8,0,482,482,71,"Unambiguous","Inconsistent",482
"164",4,43,"disamb","fp","disamb fp",6,0,418,418,71,"Unambiguous","Consistent",418
"166",4,33,"disamb","fp","disamb fp",8,0,957,957,71,"Unambiguous","Inconsistent",957
"168",4,45,"disamb","fp","disamb fp",8,0,636,636,71,"Unambiguous","Inconsistent",636
"170",4,30,"disamb","fp","disamb fp",5,0,244,244,71,"Ambiguous","Consistent",244
"171",4,40,"disamb","fp","disamb fp",7,0,331,331,71,"Ambiguous","Inconsistent",331
"173",4,41,"disamb","fp","disamb fp",8,0,942,942,71,"Unambiguous","Inconsistent",942
"175",4,48,"disamb","fp","disamb fp",7,0,183,183,71,"Ambiguous","Inconsistent",183
"177",4,42,"disamb","fp","disamb fp",5,0,493,493,71,"Ambiguous","Consistent",493
