"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"722",1,18,"spillover2","tt",71,"High","spillover2 tt",2,0,713,713,"Ambiguous","Mismatch",713
"724",1,15,"spillover2","tt",71,"High","spillover2 tt",3,0,668,668,"Unambiguous","Match",668
"726",1,1,"spillover2","tt",71,"High","spillover2 tt",1,0,447,447,"Ambiguous","Match",447
"728",1,6,"spillover2","tt",71,"High","spillover2 tt",2,0,389,389,"Ambiguous","Mismatch",389
"730",1,3,"spillover2","tt",71,"High","spillover2 tt",3,0,461,461,"Unambiguous","Match",461
"732",1,14,"spillover2","tt",71,"High","spillover2 tt",2,0,436,436,"Ambiguous","Mismatch",436
"734",1,4,"spillover2","tt",71,"High","spillover2 tt",4,0,956,956,"Unambiguous","Mismatch",956
"736",1,17,"spillover2","tt",71,"High","spillover2 tt",1,0,703,703,"Ambiguous","Match",703
"738",1,5,"spillover2","tt",71,"High","spillover2 tt",1,0,372,372,"Ambiguous","Match",372
"740",1,13,"spillover2","tt",71,"High","spillover2 tt",1,0,289,289,"Ambiguous","Match",289
"742",1,22,"spillover2","tt",71,"High","spillover2 tt",2,0,658,658,"Ambiguous","Mismatch",658
"744",1,8,"spillover2","tt",71,"High","spillover2 tt",4,0,1218,1218,"Unambiguous","Mismatch",1218
"746",1,9,"spillover2","tt",71,"High","spillover2 tt",1,0,402,402,"Ambiguous","Match",402
"748",1,19,"spillover2","tt",71,"High","spillover2 tt",3,0,1144,1144,"Unambiguous","Match",1144
"750",1,24,"spillover2","tt",71,"High","spillover2 tt",4,0,714,714,"Unambiguous","Mismatch",714
"752",1,12,"spillover2","tt",71,"High","spillover2 tt",4,0,1846,1846,"Unambiguous","Mismatch",1846
"754",1,20,"spillover2","tt",71,"High","spillover2 tt",4,0,189,189,"Unambiguous","Mismatch",189
"756",1,10,"spillover2","tt",71,"High","spillover2 tt",2,0,1962,1962,"Ambiguous","Mismatch",1962
"758",1,11,"spillover2","tt",71,"High","spillover2 tt",3,0,1391,1391,"Unambiguous","Match",1391
"760",1,16,"spillover2","tt",71,"High","spillover2 tt",4,0,1042,1042,"Unambiguous","Mismatch",1042
"762",1,7,"spillover2","tt",71,"High","spillover2 tt",3,0,1634,1634,"Unambiguous","Match",1634
"764",1,2,"spillover2","tt",71,"High","spillover2 tt",2,0,1042,1042,"Ambiguous","Mismatch",1042
"766",1,21,"spillover2","tt",71,"High","spillover2 tt",1,0,825,825,"Ambiguous","Match",825
"768",1,23,"spillover2","tt",71,"High","spillover2 tt",3,0,1499,1499,"Unambiguous","Match",1499
"1586",2,16,"spillover2","tt",71,"High","spillover2 tt",1,0,952,952,"Ambiguous","Match",952
"1588",2,4,"spillover2","tt",71,"High","spillover2 tt",1,0,583,583,"Ambiguous","Match",583
"1590",2,2,"spillover2","tt",71,"High","spillover2 tt",3,0,2060,2060,"Unambiguous","Match",NA
"1592",2,13,"spillover2","tt",71,"High","spillover2 tt",2,0,511,511,"Ambiguous","Mismatch",511
"1594",2,19,"spillover2","tt",71,"High","spillover2 tt",4,0,756,756,"Unambiguous","Mismatch",756
