"","subject","item","region","measure","sort","condition","skips","rawdata","nozero","proficiency","ambiguity","gender","trimmed_nozero"
"13365",1,18,"spillover1","rp","spillover1 rp",2,0,243,243,69,"Ambiguous","Mismatch",243
"13367",1,15,"spillover1","rp","spillover1 rp",3,0,219,219,69,"Unambiguous","Match",219
"13369",1,1,"spillover1","rp","spillover1 rp",1,0,4587,4587,69,"Ambiguous","Match",4587
"13371",1,6,"spillover1","rp","spillover1 rp",2,0,2798,2798,69,"Ambiguous","Mismatch",2798
"13373",1,3,"spillover1","rp","spillover1 rp",3,0,731,731,69,"Unambiguous","Match",731
"13375",1,14,"spillover1","rp","spillover1 rp",2,0,333,333,69,"Ambiguous","Mismatch",333
"13377",1,4,"spillover1","rp","spillover1 rp",4,0,121,121,69,"Unambiguous","Mismatch",121
"13379",1,17,"spillover1","rp","spillover1 rp",1,0,588,588,69,"Ambiguous","Match",588
"13381",1,5,"spillover1","rp","spillover1 rp",1,0,733,733,69,"Ambiguous","Match",733
"13383",1,13,"spillover1","rp","spillover1 rp",1,0,2806,2806,69,"Ambiguous","Match",2806
"13385",1,22,"spillover1","rp","spillover1 rp",2,0,304,304,69,"Ambiguous","Mismatch",304
"13387",1,8,"spillover1","rp","spillover1 rp",4,0,178,178,69,"Unambiguous","Mismatch",178
"13389",1,9,"spillover1","rp","spillover1 rp",1,0,2628,2628,69,"Ambiguous","Match",2628
"13391",1,19,"spillover1","rp","spillover1 rp",3,0,220,220,69,"Unambiguous","Match",220
"13393",1,24,"spillover1","rp","spillover1 rp",4,0,181,181,69,"Unambiguous","Mismatch",181
"13395",1,12,"spillover1","rp","spillover1 rp",4,0,210,210,69,"Unambiguous","Mismatch",210
"13397",1,20,"spillover1","rp","spillover1 rp",4,0,184,184,69,"Unambiguous","Mismatch",184
"13399",1,10,"spillover1","rp","spillover1 rp",2,0,2289,2289,69,"Ambiguous","Mismatch",2289
"13401",1,11,"spillover1","rp","spillover1 rp",3,0,231,231,69,"Unambiguous","Match",231
"13403",1,16,"spillover1","rp","spillover1 rp",4,0,174,174,69,"Unambiguous","Mismatch",174
"13405",1,7,"spillover1","rp","spillover1 rp",3,0,392,392,69,"Unambiguous","Match",392
"13407",1,2,"spillover1","rp","spillover1 rp",2,0,219,219,69,"Ambiguous","Mismatch",219
"13409",1,21,"spillover1","rp","spillover1 rp",1,0,168,168,69,"Ambiguous","Match",168
"13411",1,23,"spillover1","rp","spillover1 rp",3,0,311,311,69,"Unambiguous","Match",311
"13413",2,16,"spillover1","rp","spillover1 rp",1,0,338,338,69,"Ambiguous","Match",338
"13415",2,4,"spillover1","rp","spillover1 rp",1,0,481,481,69,"Ambiguous","Match",481
"13417",2,2,"spillover1","rp","spillover1 rp",3,0,985,985,69,"Unambiguous","Match",985
"13419",2,13,"spillover1","rp","spillover1 rp",2,0,485,485,69,"Ambiguous","Mismatch",485
"13421",2,19,"spillover1","rp","spillover1 rp",4,0,369,369,69,"Unambiguous","Mismatch",369
"13423",2,12,"spillover1","rp","spillover1 rp",1,0,1484,1484,69,"Ambiguous","Match",1484
"13425",2,10,"spillover1","rp","spillover1 rp",3,0,268,268,69,"Unambiguous","Match",268
"13427",2,3,"spillover1","rp","spillover1 rp",4,0,552,552,69,"Unambiguous","Mismatch",552
"13429",2,9,"spillover1","rp","spillover1 rp",2,0,229,229,69,"Ambiguous","Mismatch",229
"13431",2,21,"spillover1","rp","spillover1 rp",2,0,178,178,69,"Ambiguous","Mismatch",178
"13433",2,15,"spillover1","rp","spillover1 rp",4,0,313,313,69,"Unambiguous","Mismatch",313
"13435",2,18,"spillover1","rp","spillover1 rp",3,0,701,701,69,"Unambiguous","Match",701
"13437",2,6,"spillover1","rp","spillover1 rp",3,0,555,555,69,"Unambiguous","Match",555
"13439",2,5,"spillover1","rp","spillover1 rp",2,0,197,197,69,"Ambiguous","Mismatch",197
"13441",2,14,"spillover1","rp","spillover1 rp",3,0,510,510,69,"Unambiguous","Match",510
"13443",2,1,"spillover1","rp","spillover1 rp",2,0,539,539,69,"Ambiguous","Mismatch",539
"13445",2,20,"spillover1","rp","spillover1 rp",1,0,1463,1463,69,"Ambiguous","Match",1463
"13447",2,11,"spillover1","rp","spillover1 rp",4,0,467,467,69,"Unambiguous","Mismatch",467
"13449",2,7,"spillover1","rp","spillover1 rp",4,0,494,494,69,"Unambiguous","Mismatch",494
"13451",2,23,"spillover1","rp","spillover1 rp",4,0,537,537,69,"Unambiguous","Mismatch",537
"13453",2,8,"spillover1","rp","spillover1 rp",1,0,159,159,69,"Ambiguous","Match",159
"13455",2,17,"spillover1","rp","spillover1 rp",2,0,528,528,69,"Ambiguous","Mismatch",528
"13457",2,24,"spillover1","rp","spillover1 rp",1,0,404,404,69,"Ambiguous","Match",404
"13459",2,22,"spillover1","rp","spillover1 rp",3,0,334,334,69,"Unambiguous","Match",334
"13461",3,18,"spillover1","rp","spillover1 rp",4,0,243,243,69,"Unambiguous","Mismatch",243
"13463",3,7,"spillover1","rp","spillover1 rp",1,0,5383,5383,69,"Ambiguous","Match",NA
"13465",3,16,"spillover1","rp","spillover1 rp",2,0,2481,2481,69,"Ambiguous","Mismatch",2481
"13467",3,5,"spillover1","rp","spillover1 rp",3,0,227,227,69,"Unambiguous","Match",227
"13469",3,24,"spillover1","rp","spillover1 rp",2,0,580,580,69,"Ambiguous","Mismatch",580
"13471",3,4,"spillover1","rp","spillover1 rp",2,0,3461,3461,69,"Ambiguous","Mismatch",3461
"13473",3,14,"spillover1","rp","spillover1 rp",4,0,717,717,69,"Unambiguous","Mismatch",717
"13475",3,1,"spillover1","rp","spillover1 rp",3,0,347,347,69,"Unambiguous","Match",347
"13477",3,9,"spillover1","rp","spillover1 rp",3,0,299,299,69,"Unambiguous","Match",299
"13479",3,22,"spillover1","rp","spillover1 rp",4,0,309,309,69,"Unambiguous","Mismatch",309
"13481",3,10,"spillover1","rp","spillover1 rp",4,0,382,382,69,"Unambiguous","Mismatch",382
"13483",3,6,"spillover1","rp","spillover1 rp",4,0,702,702,69,"Unambiguous","Mismatch",702
"13485",3,23,"spillover1","rp","spillover1 rp",1,0,484,484,69,"Ambiguous","Match",484
"13487",3,17,"spillover1","rp","spillover1 rp",3,0,511,511,69,"Unambiguous","Match",511
"13489",3,19,"spillover1","rp","spillover1 rp",1,0,2426,2426,69,"Ambiguous","Match",2426
"13491",3,13,"spillover1","rp","spillover1 rp",3,0,314,314,69,"Unambiguous","Match",314
"13493",3,20,"spillover1","rp","spillover1 rp",2,0,563,563,69,"Ambiguous","Mismatch",563
"13495",3,11,"spillover1","rp","spillover1 rp",1,0,451,451,69,"Ambiguous","Match",451
"13497",3,2,"spillover1","rp","spillover1 rp",4,0,250,250,69,"Unambiguous","Mismatch",250
"13499",3,12,"spillover1","rp","spillover1 rp",2,0,705,705,69,"Ambiguous","Mismatch",705
"13501",3,21,"spillover1","rp","spillover1 rp",3,0,208,208,69,"Unambiguous","Match",208
"13503",3,15,"spillover1","rp","spillover1 rp",1,0,254,254,69,"Ambiguous","Match",254
"13505",3,8,"spillover1","rp","spillover1 rp",2,0,269,269,69,"Ambiguous","Mismatch",269
"13507",3,3,"spillover1","rp","spillover1 rp",1,0,731,731,69,"Ambiguous","Match",731
"13509",4,7,"spillover1","rp","spillover1 rp",2,0,431,431,69,"Ambiguous","Mismatch",431
"13511",4,8,"spillover1","rp","spillover1 rp",3,0,444,444,69,"Unambiguous","Match",444
"13513",4,11,"spillover1","rp","spillover1 rp",2,0,278,278,69,"Ambiguous","Mismatch",278
"13515",4,22,"spillover1","rp","spillover1 rp",1,0,422,422,69,"Ambiguous","Match",422
"13517",4,1,"spillover1","rp","spillover1 rp",4,0,483,483,69,"Unambiguous","Mismatch",483
"13519",4,20,"spillover1","rp","spillover1 rp",3,0,496,496,69,"Unambiguous","Match",496
"13521",4,23,"spillover1","rp","spillover1 rp",2,0,500,500,69,"Ambiguous","Mismatch",500
"13523",4,3,"spillover1","rp","spillover1 rp",2,0,737,737,69,"Ambiguous","Mismatch",737
"13526",4,19,"spillover1","rp","spillover1 rp",2,0,474,474,69,"Ambiguous","Mismatch",474
"13528",4,13,"spillover1","rp","spillover1 rp",4,0,506,506,69,"Unambiguous","Mismatch",506
"13530",4,9,"spillover1","rp","spillover1 rp",4,0,516,516,69,"Unambiguous","Mismatch",516
"13532",4,2,"spillover1","rp","spillover1 rp",1,0,504,504,69,"Ambiguous","Match",504
"13535",4,4,"spillover1","rp","spillover1 rp",3,0,389,389,69,"Unambiguous","Match",389
"13537",4,12,"spillover1","rp","spillover1 rp",3,0,2145,2145,69,"Unambiguous","Match",NA
"13539",4,16,"spillover1","rp","spillover1 rp",3,0,478,478,69,"Unambiguous","Match",478
"13542",4,18,"spillover1","rp","spillover1 rp",1,0,501,501,69,"Ambiguous","Match",501
"13544",4,24,"spillover1","rp","spillover1 rp",3,0,489,489,69,"Unambiguous","Match",489
"13546",4,6,"spillover1","rp","spillover1 rp",1,0,501,501,69,"Ambiguous","Match",501
"13548",4,17,"spillover1","rp","spillover1 rp",4,0,1143,1143,69,"Unambiguous","Mismatch",1143
"13551",4,14,"spillover1","rp","spillover1 rp",1,0,433,433,69,"Ambiguous","Match",433
"13552",5,13,"spillover1","rp","spillover1 rp",1,0,334,334,69,"Ambiguous","Match",334
"13554",5,4,"spillover1","rp","spillover1 rp",4,0,348,348,69,"Unambiguous","Mismatch",348
"13556",5,9,"spillover1","rp","spillover1 rp",1,0,412,412,69,"Ambiguous","Match",412
"13558",5,8,"spillover1","rp","spillover1 rp",4,0,379,379,69,"Unambiguous","Mismatch",379
"13560",5,7,"spillover1","rp","spillover1 rp",3,0,326,326,69,"Unambiguous","Match",326
"13562",5,16,"spillover1","rp","spillover1 rp",4,0,937,937,69,"Unambiguous","Mismatch",937
"13564",5,19,"spillover1","rp","spillover1 rp",3,0,335,335,69,"Unambiguous","Match",335
"13566",5,17,"spillover1","rp","spillover1 rp",1,0,656,656,69,"Ambiguous","Match",656
"13568",5,3,"spillover1","rp","spillover1 rp",3,0,1578,1578,69,"Unambiguous","Match",1578
"13570",5,14,"spillover1","rp","spillover1 rp",2,0,790,790,69,"Ambiguous","Mismatch",790
"13572",5,1,"spillover1","rp","spillover1 rp",1,0,806,806,69,"Ambiguous","Match",806
"13574",5,15,"spillover1","rp","spillover1 rp",3,0,386,386,69,"Unambiguous","Match",386
"13576",5,22,"spillover1","rp","spillover1 rp",2,0,196,196,69,"Ambiguous","Mismatch",196
"13578",5,18,"spillover1","rp","spillover1 rp",2,0,408,408,69,"Ambiguous","Mismatch",408
"13580",5,5,"spillover1","rp","spillover1 rp",1,0,1139,1139,69,"Ambiguous","Match",1139
"13582",5,2,"spillover1","rp","spillover1 rp",2,0,753,753,69,"Ambiguous","Mismatch",753
"13584",5,23,"spillover1","rp","spillover1 rp",3,0,556,556,69,"Unambiguous","Match",556
"13586",5,21,"spillover1","rp","spillover1 rp",1,0,274,274,69,"Ambiguous","Match",274
"13588",5,20,"spillover1","rp","spillover1 rp",4,0,781,781,69,"Unambiguous","Mismatch",781
"13590",5,10,"spillover1","rp","spillover1 rp",2,0,358,358,69,"Ambiguous","Mismatch",358
"13592",5,12,"spillover1","rp","spillover1 rp",4,0,749,749,69,"Unambiguous","Mismatch",749
"13594",5,11,"spillover1","rp","spillover1 rp",3,0,730,730,69,"Unambiguous","Match",730
