"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"626",1,18,"spillover1","tt",71,"spillover1 tt",2,0,514,514,"Ambiguous","Mismatch"
"628",1,15,"spillover1","tt",71,"spillover1 tt",3,0,381,381,"Unambiguous","Match"
"630",1,1,"spillover1","tt",71,"spillover1 tt",1,0,773,773,"Ambiguous","Match"
"632",1,6,"spillover1","tt",71,"spillover1 tt",2,0,478,478,"Ambiguous","Mismatch"
"634",1,3,"spillover1","tt",71,"spillover1 tt",3,0,455,455,"Unambiguous","Match"
"636",1,14,"spillover1","tt",71,"spillover1 tt",2,0,333,333,"Ambiguous","Mismatch"
"638",1,4,"spillover1","tt",71,"spillover1 tt",4,0,489,489,"Unambiguous","Mismatch"
"640",1,17,"spillover1","tt",71,"spillover1 tt",1,0,800,800,"Ambiguous","Match"
"642",1,5,"spillover1","tt",71,"spillover1 tt",1,0,733,733,"Ambiguous","Match"
"644",1,13,"spillover1","tt",71,"spillover1 tt",1,0,515,515,"Ambiguous","Match"
"646",1,22,"spillover1","tt",71,"spillover1 tt",2,0,304,304,"Ambiguous","Mismatch"
"648",1,8,"spillover1","tt",71,"spillover1 tt",4,0,667,667,"Unambiguous","Mismatch"
"650",1,9,"spillover1","tt",71,"spillover1 tt",1,0,761,761,"Ambiguous","Match"
"652",1,19,"spillover1","tt",71,"spillover1 tt",3,0,220,220,"Unambiguous","Match"
"654",1,24,"spillover1","tt",71,"spillover1 tt",4,0,411,411,"Unambiguous","Mismatch"
"656",1,12,"spillover1","tt",71,"spillover1 tt",4,0,1053,1053,"Unambiguous","Mismatch"
"658",1,20,"spillover1","tt",71,"spillover1 tt",4,0,184,184,"Unambiguous","Mismatch"
"660",1,10,"spillover1","tt",71,"spillover1 tt",2,0,1312,1312,"Ambiguous","Mismatch"
"662",1,11,"spillover1","tt",71,"spillover1 tt",3,0,386,386,"Unambiguous","Match"
"664",1,16,"spillover1","tt",71,"spillover1 tt",4,0,552,552,"Unambiguous","Mismatch"
"666",1,7,"spillover1","tt",71,"spillover1 tt",3,0,392,392,"Unambiguous","Match"
"668",1,2,"spillover1","tt",71,"spillover1 tt",2,0,1719,1719,"Ambiguous","Mismatch"
"670",1,21,"spillover1","tt",71,"spillover1 tt",1,0,168,168,"Ambiguous","Match"
"672",1,23,"spillover1","tt",71,"spillover1 tt",3,0,522,522,"Unambiguous","Match"
"1490",2,16,"spillover1","tt",71,"spillover1 tt",1,0,338,338,"Ambiguous","Match"
