"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"434",1,18,"spillover2","rp",71,"spillover2 rp",2,0,2305,2305,"Ambiguous","Mismatch"
"436",1,15,"spillover2","rp",71,"spillover2 rp",3,0,346,346,"Unambiguous","Match"
"438",1,1,"spillover2","rp",71,"spillover2 rp",1,0,447,447,"Ambiguous","Match"
"440",1,6,"spillover2","rp",71,"spillover2 rp",2,0,389,389,"Ambiguous","Mismatch"
"442",1,3,"spillover2","rp",71,"spillover2 rp",3,0,461,461,"Unambiguous","Match"
"444",1,14,"spillover2","rp",71,"spillover2 rp",2,0,436,436,"Ambiguous","Mismatch"
"446",1,4,"spillover2","rp",71,"spillover2 rp",4,0,4132,4132,"Unambiguous","Mismatch"
"448",1,17,"spillover2","rp",71,"spillover2 rp",1,0,458,458,"Ambiguous","Match"
"450",1,5,"spillover2","rp",71,"spillover2 rp",1,0,372,372,"Ambiguous","Match"
"452",1,13,"spillover2","rp",71,"spillover2 rp",1,0,289,289,"Ambiguous","Match"
"454",1,22,"spillover2","rp",71,"spillover2 rp",2,0,743,743,"Ambiguous","Mismatch"
"456",1,8,"spillover2","rp",71,"spillover2 rp",4,0,3677,3677,"Unambiguous","Mismatch"
"458",1,9,"spillover2","rp",71,"spillover2 rp",1,0,402,402,"Ambiguous","Match"
"460",1,19,"spillover2","rp",71,"spillover2 rp",3,0,1396,1396,"Unambiguous","Match"
"462",1,24,"spillover2","rp",71,"spillover2 rp",4,0,452,452,"Unambiguous","Mismatch"
"464",1,12,"spillover2","rp",71,"spillover2 rp",4,0,3196,3196,"Unambiguous","Mismatch"
"466",1,20,"spillover2","rp",71,"spillover2 rp",4,0,189,189,"Unambiguous","Mismatch"
"468",1,10,"spillover2","rp",71,"spillover2 rp",2,0,3708,3708,"Ambiguous","Mismatch"
"470",1,11,"spillover2","rp",71,"spillover2 rp",3,0,1047,1047,"Unambiguous","Match"
"472",1,16,"spillover2","rp",71,"spillover2 rp",4,0,1946,1946,"Unambiguous","Mismatch"
"474",1,7,"spillover2","rp",71,"spillover2 rp",3,0,8915,8915,"Unambiguous","Match"
"476",1,2,"spillover2","rp",71,"spillover2 rp",2,0,9715,9715,"Ambiguous","Mismatch"
"478",1,21,"spillover2","rp",71,"spillover2 rp",1,0,825,825,"Ambiguous","Match"
"480",1,23,"spillover2","rp",71,"spillover2 rp",3,0,2261,2261,"Unambiguous","Match"
"1298",2,16,"spillover2","rp",71,"spillover2 rp",1,0,952,952,"Ambiguous","Match"
"1300",2,4,"spillover2","rp",71,"spillover2 rp",1,0,583,583,"Ambiguous","Match"
"1302",2,2,"spillover2","rp",71,"spillover2 rp",3,0,2725,2725,"Unambiguous","Match"
"1304",2,13,"spillover2","rp",71,"spillover2 rp",2,0,511,511,"Ambiguous","Mismatch"
"1306",2,19,"spillover2","rp",71,"spillover2 rp",4,0,756,756,"Unambiguous","Mismatch"
"1308",2,12,"spillover2","rp",71,"spillover2 rp",1,0,1307,1307,"Ambiguous","Match"
"1310",2,10,"spillover2","rp",71,"spillover2 rp",3,0,293,293,"Unambiguous","Match"
"1312",2,3,"spillover2","rp",71,"spillover2 rp",4,0,925,925,"Unambiguous","Mismatch"
"1314",2,9,"spillover2","rp",71,"spillover2 rp",2,0,334,334,"Ambiguous","Mismatch"
"1316",2,21,"spillover2","rp",71,"spillover2 rp",2,0,545,545,"Ambiguous","Mismatch"
"1318",2,15,"spillover2","rp",71,"spillover2 rp",4,0,476,476,"Unambiguous","Mismatch"
"1320",2,18,"spillover2","rp",71,"spillover2 rp",3,0,1145,1145,"Unambiguous","Match"
"1322",2,6,"spillover2","rp",71,"spillover2 rp",3,0,1309,1309,"Unambiguous","Match"
"1324",2,5,"spillover2","rp",71,"spillover2 rp",2,0,544,544,"Ambiguous","Mismatch"
"1326",2,14,"spillover2","rp",71,"spillover2 rp",3,0,386,386,"Unambiguous","Match"
"1328",2,1,"spillover2","rp",71,"spillover2 rp",2,0,348,348,"Ambiguous","Mismatch"
"1330",2,20,"spillover2","rp",71,"spillover2 rp",1,0,369,369,"Ambiguous","Match"
"1332",2,11,"spillover2","rp",71,"spillover2 rp",4,0,433,433,"Unambiguous","Mismatch"
"1334",2,7,"spillover2","rp",71,"spillover2 rp",4,0,666,666,"Unambiguous","Mismatch"
"1336",2,23,"spillover2","rp",71,"spillover2 rp",4,0,662,662,"Unambiguous","Mismatch"
"1338",2,8,"spillover2","rp",71,"spillover2 rp",1,0,350,350,"Ambiguous","Match"
"1340",2,17,"spillover2","rp",71,"spillover2 rp",2,0,451,451,"Ambiguous","Mismatch"
"1342",2,24,"spillover2","rp",71,"spillover2 rp",1,0,262,262,"Ambiguous","Match"
"1344",2,22,"spillover2","rp",71,"spillover2 rp",3,0,304,304,"Unambiguous","Match"
"2162",3,18,"spillover2","rp",74,"spillover2 rp",4,0,1164,1164,"Unambiguous","Mismatch"
"2164",3,7,"spillover2","rp",74,"spillover2 rp",1,0,1271,1271,"Ambiguous","Match"
"2166",3,16,"spillover2","rp",74,"spillover2 rp",2,0,805,805,"Ambiguous","Mismatch"
"2168",3,5,"spillover2","rp",74,"spillover2 rp",3,0,537,537,"Unambiguous","Match"
"2170",3,24,"spillover2","rp",74,"spillover2 rp",2,0,491,491,"Ambiguous","Mismatch"
"2172",3,4,"spillover2","rp",74,"spillover2 rp",2,0,1376,1376,"Ambiguous","Mismatch"
"2174",3,14,"spillover2","rp",74,"spillover2 rp",4,0,4371,4371,"Unambiguous","Mismatch"
"2176",3,1,"spillover2","rp",74,"spillover2 rp",3,0,677,677,"Unambiguous","Match"
"2178",3,9,"spillover2","rp",74,"spillover2 rp",3,0,1242,1242,"Unambiguous","Match"
"2180",3,22,"spillover2","rp",74,"spillover2 rp",4,0,1140,1140,"Unambiguous","Mismatch"
"2182",3,10,"spillover2","rp",74,"spillover2 rp",4,0,799,799,"Unambiguous","Mismatch"
"2184",3,6,"spillover2","rp",74,"spillover2 rp",4,0,5030,5030,"Unambiguous","Mismatch"
"2186",3,23,"spillover2","rp",74,"spillover2 rp",1,0,642,642,"Ambiguous","Match"
"2188",3,17,"spillover2","rp",74,"spillover2 rp",3,0,678,678,"Unambiguous","Match"
"2190",3,19,"spillover2","rp",74,"spillover2 rp",1,0,459,459,"Ambiguous","Match"
"2192",3,13,"spillover2","rp",74,"spillover2 rp",3,0,403,403,"Unambiguous","Match"
"2194",3,20,"spillover2","rp",74,"spillover2 rp",2,0,1058,1058,"Ambiguous","Mismatch"
"2196",3,11,"spillover2","rp",74,"spillover2 rp",1,0,588,588,"Ambiguous","Match"
"2198",3,2,"spillover2","rp",74,"spillover2 rp",4,0,3387,3387,"Unambiguous","Mismatch"
"2200",3,12,"spillover2","rp",74,"spillover2 rp",2,0,910,910,"Ambiguous","Mismatch"
"2202",3,21,"spillover2","rp",74,"spillover2 rp",3,0,508,508,"Unambiguous","Match"
"2204",3,15,"spillover2","rp",74,"spillover2 rp",1,0,188,188,"Ambiguous","Match"
"2206",3,8,"spillover2","rp",74,"spillover2 rp",2,0,379,379,"Ambiguous","Mismatch"
"2208",3,3,"spillover2","rp",74,"spillover2 rp",1,0,3747,3747,"Ambiguous","Match"
"2990",4,7,"spillover2","rp",72,"spillover2 rp",2,0,1497,1497,"Ambiguous","Mismatch"
"2992",4,8,"spillover2","rp",72,"spillover2 rp",3,0,582,582,"Unambiguous","Match"
"2994",4,11,"spillover2","rp",72,"spillover2 rp",2,0,678,678,"Ambiguous","Mismatch"
"2996",4,22,"spillover2","rp",72,"spillover2 rp",1,1,0,NA,"Ambiguous","Match"
"2998",4,1,"spillover2","rp",72,"spillover2 rp",4,0,1359,1359,"Unambiguous","Mismatch"
"3000",4,20,"spillover2","rp",72,"spillover2 rp",3,0,5488,5488,"Unambiguous","Match"
"3002",4,23,"spillover2","rp",72,"spillover2 rp",2,0,1302,1302,"Ambiguous","Mismatch"
"3004",4,3,"spillover2","rp",72,"spillover2 rp",2,0,1337,1337,"Ambiguous","Mismatch"
"3007",4,19,"spillover2","rp",72,"spillover2 rp",2,0,319,319,"Ambiguous","Mismatch"
"3009",4,13,"spillover2","rp",72,"spillover2 rp",4,0,1783,1783,"Unambiguous","Mismatch"
"3011",4,9,"spillover2","rp",72,"spillover2 rp",4,0,6122,6122,"Unambiguous","Mismatch"
"3013",4,2,"spillover2","rp",72,"spillover2 rp",1,0,1531,1531,"Ambiguous","Match"
"3016",4,4,"spillover2","rp",72,"spillover2 rp",3,0,1529,1529,"Unambiguous","Match"
"3018",4,12,"spillover2","rp",72,"spillover2 rp",3,0,1068,1068,"Unambiguous","Match"
"3020",4,16,"spillover2","rp",72,"spillover2 rp",3,0,586,586,"Unambiguous","Match"
"3023",4,18,"spillover2","rp",72,"spillover2 rp",1,0,442,442,"Ambiguous","Match"
"3025",4,24,"spillover2","rp",72,"spillover2 rp",3,0,602,602,"Unambiguous","Match"
"3027",4,6,"spillover2","rp",72,"spillover2 rp",1,0,354,354,"Ambiguous","Match"
"3029",4,17,"spillover2","rp",72,"spillover2 rp",4,0,2755,2755,"Unambiguous","Mismatch"
"3032",4,14,"spillover2","rp",72,"spillover2 rp",1,0,1390,1390,"Ambiguous","Match"
"3817",5,13,"spillover2","rp",66,"spillover2 rp",1,0,436,436,"Ambiguous","Match"
"3819",5,4,"spillover2","rp",66,"spillover2 rp",4,0,1364,1364,"Unambiguous","Mismatch"
"3821",5,9,"spillover2","rp",66,"spillover2 rp",1,0,585,585,"Ambiguous","Match"
"3823",5,8,"spillover2","rp",66,"spillover2 rp",4,0,950,950,"Unambiguous","Mismatch"
"3825",5,7,"spillover2","rp",66,"spillover2 rp",3,0,2386,2386,"Unambiguous","Match"
"3827",5,16,"spillover2","rp",66,"spillover2 rp",4,0,876,876,"Unambiguous","Mismatch"
"3829",5,19,"spillover2","rp",66,"spillover2 rp",3,0,750,750,"Unambiguous","Match"
"3831",5,17,"spillover2","rp",66,"spillover2 rp",1,0,429,429,"Ambiguous","Match"
"3833",5,3,"spillover2","rp",66,"spillover2 rp",3,0,1195,1195,"Unambiguous","Match"
"3835",5,14,"spillover2","rp",66,"spillover2 rp",2,0,802,802,"Ambiguous","Mismatch"
"3837",5,1,"spillover2","rp",66,"spillover2 rp",1,0,664,664,"Ambiguous","Match"
"3839",5,15,"spillover2","rp",66,"spillover2 rp",3,0,728,728,"Unambiguous","Match"
"3841",5,22,"spillover2","rp",66,"spillover2 rp",2,0,858,858,"Ambiguous","Mismatch"
"3843",5,18,"spillover2","rp",66,"spillover2 rp",2,0,583,583,"Ambiguous","Mismatch"
"3845",5,5,"spillover2","rp",66,"spillover2 rp",1,0,715,715,"Ambiguous","Match"
"3847",5,2,"spillover2","rp",66,"spillover2 rp",2,0,927,927,"Ambiguous","Mismatch"
"3849",5,23,"spillover2","rp",66,"spillover2 rp",3,0,823,823,"Unambiguous","Match"
"3851",5,21,"spillover2","rp",66,"spillover2 rp",1,0,539,539,"Ambiguous","Match"
"3853",5,20,"spillover2","rp",66,"spillover2 rp",4,0,422,422,"Unambiguous","Mismatch"
